Id;Default
22;$T$T$T$T$T$TXTS Utility
1340;$TXPlanar Diagnosis
52;$TXTS Diagnosis
427;$R$NGroup$R$NNotReady
425;$R$NGroup$R$NStandby
394;                   TcIo
2247;            TcIo
1074;          TcIo
2208;         TcIo
129; %3.2f
330; %d
690; %s
268; %s mV
979; Max Overall Current $R$NLast 500ms  :
530;%
138;%.0f
1395;%.2f
140;%.3f
417;%.d
58;%2.0f mm
2045;%2.1f °C
1370;%2.2f mm
1928;%3.0f 1/min
1026;%4.2f
1954;%4.2f kg
2209;%4.2f kg*m^2
989;%4.2f mm
243;%d
1187;%d$T%
2768;%d$T0.1s
3695;%d$T0.1°C
992;%d$TmA
3752;%d$Tms
2996;%d $T%
5273;%d $T0.1°C
838;%d $T1/A
1960;%d $TmA
1170;%d $TmV
244;%d /
145;%d Axes
196;%d ms
1345;%e
1130;%f
871;%s
2270;%s mA
3366;%x
245;+
246;-
445;...
1183;.Address
3646;.Alpha
1311;.code
1080;.Module Nr.
1995;.revision
2214;.serial
1104;.Terminal OID
1367;.vendor
3502;.X
2220;.Y
532;/
1431;/ %d
442;/% d
1514;/%d
3584;0x%x
877;1
571;10
577;11
582;12
587;13
592;14
597;15
603;2
535;3
540;4
545;5
551;6
556;7
561;8
566;9
1278;<
1382;>
29;A
1893;A-Axis Inertia
1704;Abort on Teaching Warning
149;Abort on Warning
604;Act. TrackOID
818;ActPosition
1739;ActPosition:
332;ActPosMod
593;Actual Position
333;ActVelo
969;ADC
31;AdsPort
2069;Advanced
2410;All Positions Valid
165;Amplifier Sett.
986;AmsNetID
450;Angle
1426;Angle$T
1783;APM4220
225;APM4330
2017;APM4550
601;Area
1383;Area Count
4179;Area Current Limiit
3846;Area Owner
189;AreaCurrentLimit
2046;Auto Dump writing
623;Auto. Dump Writing
980;Aux 10V :
983;Aux 24V :
984;Aux 5V : 
2470;Auxiliary Vol. 5V
533;Auxiliary Vol.10V
606;Auxiliary Vol.24V
1662;Axis ID$T
513;Axis Name
624;Axis Name:
2059;Axis OID
379;AxisNr.
338;B
101;B-Axis Inertia
2814;BECKHOFF
2909;Brake After Bridge Disable
839;BTN
775;BTN: %s
922;C
599;C-Axis Inertia
1634;Ca Active
1550;CA Active
890;CA Group
1145;CA Group:
849;CA Group: %d
837;CA Group: %d/
2;CA Passive
220;Center
291;Checksum Check
147;Clear History
56;Cmd History
1826;COE
2458;CoE Update Cyc
525;Coil
970;Coil Current
976;Coil I2T
2740;Coil Overcurrent Thold
1707;Coil Peak Curr.
835;Coil Rated Curr.
840;Coil Thermal Time Cost
4331;Com. History
6066;Coming Soon .......
874;Command
3501;Command History
5274;Command Typ
153;Command Type
134;CommandType
155;Commutation Err. Vel.
720;Compensation On
469;Coordinates origin
844;Correction Factor
322;Coupled
49;CRC Info
135;CtrlLoopClosed
1147;Current Scaling
662;Cycle Time Warning Surpressed
216;D.D. in KM
974;DC < 20V
973;DC > 56V
326;DC Bus $R$NOverall Current  : 
981;DC Bus 48V :
966;DC High
2372;DC Link Voltage
967;DC Low
1303;Delay
3231;Det. Current Ramp
2409;Det. Cycle Count
3850;Det. Max Current
3145;Det. Min Movement
1241;Det. Mover Count
2608;Detected
285;Detected Count: %d
406;Detection Filter
2763;Dev. Info
2057;Diag Data
5537;DiagHistory
845;Diagnostic
339;Distance Driven
1885;Drive ads.
2378;Drive BTN
1778;Drive COE
1467;Drive Dev. Name
1182;Drive Dev. Type
1641;Drive Error
2345;Drive HW Version
1476;Drive Info
2641;Drive State
1231;Drive SW Version
891;dsf
501;East
3800;Em. Time Out
386;Emergency Ramp
851;Enable Brake Chopper
2159;Enable Overall Current Peak Detection
507;Enable Overall Neg. Current Change Err.
1325;Enable Overall Neg. Power Err.
144;Enable Requested FALSE
143;Enable Requested TRUE
218;Enable State 
139;Enabled
2802;Encoder
1958;Encoder Ads.
2394;Encoder Error
388;Encoder Info
2012;eOperationMode
2475;Error Actual
790;Error in the Group or in one of the axes
978;Error Latch
789;error on the$R$Ngroup or in one$R$Nof the axes
331;Error: %d
889;EtherCAT
50;EtherCAT State
1622;EtherCatSyncTask
317;Event Logger
3341;Exp. Mover Count
1061;Expected
928;Expected Count: %d
354;FAN RPM
194;Feed Forward
2979;Feedforward
2654;Feedforward Type
850;File Number
195;Filter
660;Force Calibration
686;Frames Per Sec : $T$T%3.2f
3335;Fri. Comp. Area
1269;Friction Compensation
1307;Functions
964;Gap
146;General
1773;Global Number
2735;Goto Module
431;Group$R$NErrorDisabled
430;Group$R$NErrorEnabled
429;GroupDisabled
428;GroupErrorStop
424;GroupMoving
1959;Groups
426;GroupStopping
415;Hardware
2549;HardwareMod.
2143;HighPass Damping
4304;HighPass Frequency
191;HighPassDamp
190;HighPassFreq:
53;Home
1910;HW %s
519;HW Version:
968;I2T
1044;I2T Diag Data
573;I2T Error
711;I2T Warning
280;ID
1911;ID Detect. Mode
1022;ID Detection
2857;ID Detection Active
568;ID Detection Error
893;ID Detection Valid
595;ID Mode
683;Identity
908;Identity Data
341;In Target
334;Infeed:
28;Infeed: %d /
876;Info
1404;Info Data
328;Info Key Values
1083;Input Check
2001;Interp. Type
152;Interpolator
142;INVALID
4092;Is Closed
562;Is Include In Detection
329;I^2T Information
1512;KeyValues
3065;Kp
3372;Kp Area
3530;Kp Area Standstill
411;Kp Standstill
1261;Kp:
736;KpAccFFT
4007;KpAccFFT Area
1092;KpAccFFTArea:
1317;KpAccFT:
1280;KpArea:
1108;KpAreaStandstill:
1271;KpStandstill:
2210;Lag Monitor Enable
2304;Length
47;Lost Frames:$T$T%3.2f
1189;LowPass Damping
459;LowPass Frequency
1308;LowPassDamp
1298;LowPassFreq:
2660;Magnet Pl. Type
2419;Magnet Plate type
2754;Magnet Plate Type
1530;Mass
2374;Master NetID
1982;Master NetId
1566;Max Current Out.
327;Max DC Link Voltage $R$NLast 500ms  :
120;Max DC Vol. 0.5s
1066;Max OverallCurr. 0.5s
1569;Max Vel.
2056;Max. DC Link Vol.
188;MaxVelocity:
432;MC_AddAxis
783;MC_GroupDisable
786;MC_GroupEnable
784;MC_GroupHalt
434;MC_GroupReset
785;MC_GroupStop
433;MC_RemAxis
787;MC_UngroupAllAxes
2698;Message ID
261;Message Id
1233;Min. DC  Link Vol.
823;MinMechinicalMoverDistance
0;Module
1804;Module Count
927;Module Count: %d
2265;Module Overview
1391;Module Side
277;Module:
362;Module: %d /
54;Modules
1082;ModuloActPos
